date,match_number,teams,group,stadium,date_dt
"Sunday, 21 June 2026",Match 39,Belgium v IR Iran,Group G,Los Angeles Stadium,2026-06-21
"Sunday, 21 June 2026",Match 40,New Zealand v Egypt,Group G,BC Place Vancouver,2026-06-21
"Monday, 22 June 2026",Match 41,Norway v Senegal,Group I,New York New Jersey Stadium,2026-06-22
"Monday, 22 June 2026",Match 42,France v Bolivia/Iraq/Suriname,Group I,Philadelphia Stadium,2026-06-22
"Monday, 22 June 2026",Match 43,Argentina v Austria,Group J,Dallas Stadium,2026-06-22
"Monday, 22 June 2026",Match 44,Jordan v Algeria,Group J,San Francisco Bay Area Stadium,2026-06-22
"Tuesday, 23 June 2026",Match 45,England v Ghana,Group L,Boston Stadium,2026-06-23
"Tuesday, 23 June 2026",Match 46,Panama v Croatia,Group L,Toronto Stadium,2026-06-23
"Tuesday, 23 June 2026",Match 47,Portugal v Uzbekistan,Group K,Houston Stadium,2026-06-23
"Tuesday, 23 June 2026",Match 48,Colombia v Congo DR/Jamaica/New Caledonia,Group K,Estadio Guadalajara,2026-06-23
"Wednesday, 24 June 2026",Match 49,Scotland v Brazil,Group C,Miami Stadium,2026-06-24
"Wednesday, 24 June 2026",Match 50,Morocco v Haiti,Group C,Atlanta Stadium,2026-06-24
"Wednesday, 24 June 2026",Match 51,Switzerland v Canada,Group B,BC Place Vancouver,2026-06-24
"Wednesday, 24 June 2026",Match 52,Bosnia and Herzegovina/Italy/Northern Ireland/Wales v Qatar,Group B,Seattle Stadium,2026-06-24
"Wednesday, 24 June 2026",Match 53,Czechia/Denmark/North Macedonia/Republic of Ireland v Mexico,Group A,Mexico City Stadium,2026-06-24
"Wednesday, 24 June 2026",Match 54,South Africa v Korea Republic,Group A,Estadio Monterrey,2026-06-24
"Thursday, 25 June 2026",Match 55,Curaçao v Côte d'Ivoire,Group E,Philadelphia Stadium,2026-06-25
"Thursday, 25 June 2026",Match 56,Ecuador v Germany,Group E,New York New Jersey Stadium,2026-06-25
"Thursday, 25 June 2026",Match 57,Japan v Albania/Poland/Sweden/Ukraine,Group F,Dallas Stadium,2026-06-25
"Thursday, 25 June 2026",Match 58,Tunisia v Netherlands,Group F,Kansas City Stadium,2026-06-25
"Thursday, 25 June 2026",Match 59,Kosovo/Romania/Slovakia/Türkiye v USA,Group D,Los Angeles Stadium,2026-06-25
"Thursday, 25 June 2026",Match 60,Paraguay v Australia,Group D,San Francisco Bay Area Stadium,2026-06-25
"Friday, 26 June 2026",Match 61,Norway v France,Group I,Boston Stadium,2026-06-26
"Friday, 26 June 2026",Match 62,Senegal v Bolivia/Iraq/Suriname,Group I,Toronto Stadium,2026-06-26
"Friday, 26 June 2026",Match 63,Egypt v IR Iran,Group G,Seattle Stadium,2026-06-26
"Friday, 26 June 2026",Match 64,New Zealand v Belgium,Group G,BC Place Vancouver,2026-06-26
"Friday, 26 June 2026",Match 65,Cabo Verde v Saudi Arabia,Group H,Houston Stadium,2026-06-26
"Friday, 26 June 2026",Match 66,Uruguay v Spain,Group H,Estadio Guadalajara,2026-06-26
"Saturday, 27 June 2026",Match 67,Panama v England,Group L,New York New Jersey Stadium,2026-06-27
"Saturday, 27 June 2026",Match 68,Croatia v Ghana,Group L,Philadelphia Stadium,2026-06-27
"Saturday, 27 June 2026",Match 69,Algeria v Austria,Group J,Kansas City Stadium,2026-06-27
"Saturday, 27 June 2026",Match 70,Jordan v Argentina,Group J,Dallas Stadium,2026-06-27
"Saturday, 27 June 2026",Match 71,Colombia v Portugal,Group K,Miami Stadium,2026-06-27
"Saturday, 27 June 2026",Match 72,Congo DR/Jamaica/New Caledonia v Uzbekistan,Group K,Atlanta Stadium,2026-06-27
"Sunday, 28 June 2026",Match 73,Group A runners-up v Group B runners-up,,Los Angeles Stadium,2026-06-28
"Monday, 29 June 2026",Match 74,Group E winners v  Group A/B/C/D/F third place,,Boston Stadium,2026-06-29
"Monday, 29 June 2026",Match 75,Group F winners v Group C runners-up,,Estadio Monterrey,2026-06-29
"Monday, 29 June 2026",Match 76,Group C winners v Group F runners-up,,Houston Stadium,2026-06-29
"Tuesday, 30 June 2026",Match 77,Group I winners v Group C/D/F/G/H third place,,New York New Jersey Stadium,2026-06-30
"Tuesday, 30 June 2026",Match 78,Group E runners up v Group I runners-up,,Dallas Stadium,2026-06-30
"Tuesday, 30 June 2026",Match 79,Group A winners v Group C/E/F/H/I third place,,Mexico City Stadium,2026-06-30
"Wednesday, 1 July 2026",Match 80,Group L winners v Group E/H/I/J/K third place,,Atlanta Stadium,2026-07-01
"Wednesday, 1 July 2026",Match 81,Group D winners v Group B/E/F/I/J third place,,San Francisco Bay Area Stadium,2026-07-01
"Wednesday, 1 July 2026",Match 82,Group G winners v  Group A/E/H/I/J third place,,Seattle Stadium,2026-07-01
"Thursday, 2 July 2026",Match 83,Group K runners-up v Group L runners-up,,Toronto Stadium,2026-07-02
"Thursday, 2 July 2026",Match 84,Group H winners v Group J runners-up,,Los Angeles Stadium,2026-07-02
"Thursday, 2 July 2026",Match 85,Group B winners v Group E/F/G/I/J third place,,BC Place Vancouver,2026-07-02
"Friday, 3 July 2026",Match 86,Group J winners v Group H runners-up,,Miami Stadium,2026-07-03
"Friday, 3 July 2026",Match 87,Group K winners v Group D/E/I/J/L third place,,Kansas City Stadium,2026-07-03
"Friday, 3 July 2026",Match 88,Group D runners-up v Group G runners-up,,Dallas Stadium,2026-07-03
"Saturday, 4 July 2026",Match 89,Winner match 74 v Winner match 77,,Philadelphia Stadium,2026-07-04
"Saturday, 4 July 2026",Match 90,Winner match 73 v Winner match 75,,Houston Stadium,2026-07-04
"Sunday, 5 July 2026",Match 91,Winner match 76 v Winner match 78,,New York New Jersey Stadium,2026-07-05
"Sunday, 5 July 2026",Match 92,Winner match 79 v Winner match 80,,Mexico City Stadium,2026-07-05
"Monday, 6 July 2026",Match 93,Winner match 83 v Winner match 84,,Dallas Stadium,2026-07-06
"Monday, 6 July 2026",Match 94,Winner match 81 v Winner match 82,,Seattle Stadium,2026-07-06
"Tuesday, 7 July 2026",Match 95,Winner match 86 v Winner match 88,,Atlanta Stadium,2026-07-07
"Tuesday, 7 July 2026",Match 96,Winner match 85 v Winner match 87,,BC Place Vancouver,2026-07-07
"Thursday, 9 July 2026",Match 97,Winner match 89 v Winner match 90,,Boston Stadium,2026-07-09
"Friday, 10 July 2026",Match 98,Winner match 93 v Winner match 94,,Los Angeles Stadium,2026-07-10
"Saturday, 11 July 2026",Match 99,Winner match 91 v Winner match 92,,Miami Stadium,2026-07-11
"Saturday, 11 July 2026",Match 100,Winner match 95 v Winner match 96,,Kansas City Stadium,2026-07-11
"Tuesday, 14 July 2026",Match 101,Winner match 97 v Winner match 98,,Dallas Stadium,2026-07-14
"Wednesday, 15 July 2026",Match 102,Winner match 99 v Winner match 100,,Atlanta Stadium,2026-07-15
"Saturday, 18 July 2026",Match 103,Runner-up match 101 v Runner-up match 102,,Miami Stadium,2026-07-18
"Sunday, 19 July 2026",Match 104,Winner match 101 v Winner match 102,,New York New Jersey Stadium,2026-07-19
